Time(s),Input(v),Output(v),Output(m)
9.29999999999998,2.522,0.018,0.031
9.39999999999998,2.522,0.020,0.036
9.49999999999998,2.512,0.023,0.041
9.59999999999998,2.512,0.026,0.046
9.69999999999998,2.522,0.029,0.052
9.79999999999998,2.532,0.033,0.057
9.89999999999998,2.512,0.036,0.064
9.99999999999998,2.522,0.040,0.070
10.1,2.512,0.044,0.077
10.2,2.522,0.048,0.084
10.3,2.522,0.052,0.091
10.4,2.512,0.056,0.099
10.5,2.512,0.061,0.107
10.6,2.512,0.065,0.114
10.7,2.512,0.070,0.123
10.8,2.512,0.075,0.131
10.9,2.522,0.079,0.139
11,2.522,0.084,0.148
11.1,2.512,0.089,0.157
11.2,2.512,0.095,0.166
11.3,2.522,0.100,0.175
11.4,2.522,0.106,0.185
11.5,2.512,0.111,0.195
11.6,2.522,0.117,0.205
11.7,2.522,0.123,0.216
11.8,2.512,0.129,0.226
11.9,2.522,0.135,0.237
12,2.512,0.142,0.248
12.1,2.512,0.148,0.260
12.2,2.522,0.154,0.271
12.3,2.512,0.161,0.283
12.4,2.512,0.168,0.295
12.5,2.512,0.175,0.306
12.6,2.522,0.182,0.319
12.7,2.512,0.189,0.331
12.8,2.522,0.196,0.343
12.9,2.512,0.203,0.356
13,2.512,0.210,0.369
13.1,2.522,0.218,0.382
13.2,2.512,0.226,0.396
13.3,2.512,0.233,0.409
13.4,2.512,0.241,0.423
13.5,2.512,0.249,0.436
13.6,2.512,0.257,0.450
13.7,2.522,0.265,0.464
13.8,2.512,0.273,0.478
13.9,2.512,0.281,0.493
14,2.522,0.289,0.507
14.1,2.522,0.297,0.522
14.2,2.512,0.306,0.537
14.3,2.512,0.315,0.552
14.4,2.512,0.323,0.567
14.5,2.512,0.332,0.582
14.6,2.512,0.341,0.598
14.7,2.512,0.350,0.613
14.8,2.512,0.358,0.629
14.9,2.512,0.367,0.645
15,2.512,0.376,0.660
15.1,2.512,0.385,0.676
15.2,2.512,0.395,0.692
15.3,2.522,0.404,0.708
15.4,2.512,0.413,0.725
15.5,2.512,0.423,0.741
15.6,2.512,0.432,0.758
15.7,2.512,0.441,0.775
15.8,2.512,0.451,0.791
15.9,2.512,0.461,0.808
16,2.512,0.470,0.825
16.1,2.512,0.480,0.842
16.2,2.512,0.490,0.859
16.3,2.512,0.500,0.877
16.4,2.512,0.510,0.894
16.5,2.522,0.519,0.911
16.6,2.522,0.530,0.929
16.7,2.522,0.540,0.947
16.8,2.512,0.550,0.965
16.9,2.512,0.561,0.983
17,2.512,0.571,1.002
17.1,2.512,0.581,1.020
17.2,2.512,0.592,1.039
17.3,2.512,0.603,1.057
17.4,2.512,0.613,1.076
17.5,2.512,0.624,1.095
17.6,2.512,0.635,1.114
17.7,2.512,0.646,1.132
17.8,2.512,0.656,1.152
17.9,2.512,0.667,1.171
18,2.512,0.678,1.190
18.1,2.512,0.689,1.209
18.2,2.512,0.700,1.228
18.3,2.512,0.711,1.248
18.4,2.512,0.722,1.267
18.5,2.512,0.733,1.287
18.6,2.512,0.745,1.306
18.7,2.512,0.756,1.326
18.8,2.512,0.767,1.346
18.9,2.512,0.778,1.366
19,2.512,0.790,1.386
19.1,2.512,0.801,1.406
19.2,2.512,0.813,1.426
19.3,2.512,0.824,1.446
19.4,2.512,0.836,1.466
19.5,2.512,0.847,1.486
19.6,2.512,0.859,1.507
19.7,2.512,0.870,1.527
19.8,2.512,0.882,1.547
19.9,2.512,0.894,1.568
20,2.512,0.905,1.589
20.1,2.512,0.917,1.609
20.2,2.512,0.929,1.630
20.3,2.522,0.941,1.651
20.4,2.512,0.953,1.672
20.5,2.512,0.965,1.693
20.6,2.512,0.977,1.714
20.7,2.522,0.989,1.735
20.8,2.512,1.001,1.757
20.9,2.512,1.014,1.778
21,2.512,1.026,1.800
21.1,2.512,1.038,1.822
21.2,2.512,1.051,1.843
21.3,2.512,1.063,1.865
21.4,2.512,1.076,1.887
21.5,2.512,1.088,1.909
21.6,2.512,1.101,1.931
21.7,2.512,1.113,1.953
21.8,2.512,1.126,1.975
21.9,2.512,1.138,1.997
22,2.512,1.151,2.019
22.1,2.512,1.164,2.042
22.2,2.512,1.176,2.064
22.3,2.512,1.189,2.086
22.4,2.512,1.202,2.109
22.5,2.512,1.215,2.131
22.6000000000001,2.512,1.228,2.154
22.7000000000001,2.512,1.240,2.176
22.8000000000001,2.512,1.253,2.199
22.9000000000001,2.512,1.266,2.222
23.0000000000001,2.512,1.279,2.244
23.1000000000001,2.512,1.292,2.267
23.2000000000001,2.512,1.305,2.290
23.3000000000001,2.512,1.318,2.313
23.4000000000001,2.512,1.331,2.336
23.5000000000001,2.512,1.344,2.359
23.6000000000001,2.512,1.358,2.382
23.7000000000001,2.512,1.371,2.405
23.8000000000001,2.512,1.384,2.428
23.9000000000001,2.512,1.397,2.451
24.0000000000001,2.512,1.410,2.474
24.1000000000001,2.512,1.424,2.498
24.2000000000001,2.512,1.437,2.521
24.3000000000001,2.512,1.450,2.544
24.4000000000001,2.512,1.464,2.568
24.5000000000001,2.512,1.477,2.591
24.6000000000001,2.512,1.491,2.615
24.7000000000001,2.512,1.504,2.639
24.8000000000001,2.512,1.517,2.662
24.9000000000001,2.512,1.531,2.686
25.0000000000001,2.512,1.544,2.710
25.1000000000001,2.512,1.558,2.733
25.2000000000001,2.512,1.572,2.757
25.3000000000001,2.512,1.585,2.781
25.4000000000001,2.512,1.599,2.805
25.5000000000001,2.512,1.612,2.829
25.6000000000001,2.512,1.626,2.853
25.7000000000001,2.522,1.640,2.877
25.8000000000001,2.512,1.654,2.901
25.9000000000001,2.512,1.668,2.926
26.0000000000001,2.512,1.681,2.950
26.1000000000001,2.512,1.695,2.974
26.2000000000001,2.512,1.709,2.999
26.3000000000001,2.512,1.723,3.023
26.4000000000001,2.512,1.737,3.048
26.5000000000001,2.512,1.751,3.072
26.6000000000001,2.512,1.765,3.097
26.7000000000001,2.512,1.779,3.121
26.8000000000001,2.512,1.793,3.146
26.9000000000001,2.512,1.807,3.171
27.0000000000001,2.512,1.821,3.195
27.1000000000001,2.512,1.836,3.220
27.2000000000001,2.512,1.850,3.245
27.3000000000001,2.512,1.864,3.270
27.4000000000001,2.512,1.878,3.295
27.5000000000001,2.512,1.892,3.320
27.6000000000001,2.512,1.906,3.345
27.7000000000001,2.512,1.921,3.370
27.8000000000001,2.512,1.935,3.395
27.9000000000001,2.512,1.949,3.420
28.0000000000001,2.512,1.964,3.445
28.1000000000001,2.512,1.978,3.470
28.2000000000001,2.512,1.992,3.495
28.3000000000001,2.512,2.007,3.521
28.4000000000001,2.512,2.021,3.546
28.5000000000001,2.512,2.036,3.571
28.6000000000001,2.512,2.050,3.596
28.7000000000001,2.512,2.064,3.622
28.8000000000001,2.512,2.079,3.647
28.9000000000001,2.512,2.093,3.673
29.0000000000001,2.512,2.108,3.698
29.1000000000001,2.512,2.122,3.724
29.2000000000001,2.512,2.137,3.749
29.3000000000001,2.503,2.152,3.775
29.4000000000001,2.512,2.166,3.800
29.5000000000001,2.512,2.181,3.826
29.6000000000002,2.512,2.195,3.851
29.7000000000002,2.512,2.210,3.877
29.8000000000002,2.503,2.224,3.902
29.9000000000002,2.512,2.239,3.928
30.0000000000002,2.512,2.253,3.953
30.1000000000002,2.503,2.268,3.979
30.2000000000002,2.512,2.282,4.004
30.3000000000002,2.503,2.297,4.029
30.4000000000002,2.512,2.311,4.055
30.5000000000002,2.512,2.326,4.080
30.6000000000002,2.512,2.340,4.105
30.7000000000002,2.512,2.355,4.131
30.8000000000002,2.512,2.369,4.156
30.9000000000002,2.512,2.384,4.182
31.0000000000002,2.512,2.398,4.207
31.1000000000002,2.503,2.413,4.233
31.2000000000002,2.503,2.427,4.258
31.3000000000002,2.512,2.441,4.283
31.4000000000002,2.512,2.456,4.309
31.5000000000002,2.512,2.470,4.334
31.6000000000002,2.503,2.485,4.359
31.7000000000002,2.503,2.499,4.384
31.8000000000002,2.512,2.513,4.410
31.9000000000002,2.512,2.528,4.435
32.0000000000002,2.503,2.542,4.460
32.1000000000002,2.503,2.556,4.485
32.2000000000002,2.503,2.571,4.510
32.3000000000002,2.512,2.585,4.534
32.4000000000002,2.512,2.599,4.559
32.5000000000002,2.503,2.613,4.584
32.6000000000002,2.503,2.627,4.609
32.7000000000002,2.512,2.641,4.633
32.8000000000002,2.512,2.655,4.658
32.9000000000002,2.503,2.669,4.683
33.0000000000002,2.503,2.683,4.707
33.1000000000002,2.503,2.697,4.732
33.2000000000002,2.512,2.711,4.756
33.3000000000002,2.503,2.725,4.780
33.4000000000002,2.512,2.739,4.805
33.5000000000002,2.503,2.752,4.829
33.6000000000002,2.503,2.766,4.853
33.7000000000002,2.503,2.780,4.877
33.8000000000002,2.512,2.793,4.901
33.9000000000002,2.503,2.807,4.925
34.0000000000002,2.503,2.821,4.949
34.1000000000002,2.503,2.834,4.972
34.2000000000002,2.512,2.848,4.996
34.3000000000002,2.503,2.861,5.019
34.4000000000002,2.503,2.874,5.043
34.5000000000002,2.503,2.888,5.066
34.6000000000002,2.503,2.901,5.089
34.7000000000002,2.503,2.914,5.113
34.8000000000002,2.503,2.927,5.136
34.9000000000002,2.503,2.940,5.158
35.0000000000002,2.503,2.953,5.181
35.1000000000002,2.503,2.966,5.204
35.2000000000002,2.503,2.979,5.226
35.3000000000002,2.512,2.992,5.249
35.4000000000002,2.503,3.005,5.271
35.5000000000002,2.503,3.017,5.294
35.6000000000002,2.503,3.030,5.316
35.7000000000002,2.503,3.043,5.338
35.8000000000002,2.512,3.055,5.360
35.9000000000002,2.503,3.068,5.382
36.0000000000002,2.503,3.080,5.404
36.1000000000002,2.503,3.093,5.426
36.2000000000002,2.503,3.105,5.448
36.3000000000002,2.503,3.118,5.470
36.4000000000002,2.503,3.130,5.491
36.5000000000002,2.503,3.142,5.513
36.6000000000003,2.503,3.154,5.534
36.7000000000003,2.503,3.167,5.555
36.8000000000003,2.512,3.179,5.576
36.9000000000003,2.503,3.191,5.598
37.0000000000003,2.503,3.203,5.619
37.1000000000003,2.503,3.215,5.640
37.2000000000003,2.503,3.227,5.661
37.3000000000003,2.503,3.238,5.681
37.4000000000003,2.503,3.250,5.702
37.5000000000003,2.503,3.262,5.723
37.6000000000003,2.512,3.274,5.743
37.7000000000003,2.503,3.285,5.764
37.8000000000003,2.503,3.297,5.784
37.9000000000003,2.503,3.309,5.805
38.0000000000003,2.512,3.320,5.825
38.1000000000003,2.503,3.332,5.845
38.2000000000003,2.503,3.343,5.865
38.3000000000003,2.503,3.355,5.886
38.4000000000003,2.503,3.366,5.906
38.5000000000003,2.512,3.378,5.926
38.6000000000003,2.503,3.389,5.946
38.7000000000003,2.503,3.400,5.966
38.8000000000003,2.503,3.412,5.985
38.9000000000003,2.503,3.423,6.005
39.0000000000003,2.503,3.434,6.025
39.1000000000003,2.503,3.445,6.044
39.2000000000003,2.503,3.456,6.064
39.3000000000003,2.503,3.467,6.083
39.4000000000003,2.503,3.478,6.102
39.5000000000003,2.503,3.489,6.122
39.6000000000003,2.503,3.500,6.141
39.7000000000003,2.503,3.511,6.160
39.8000000000003,2.503,3.522,6.179
39.9000000000003,2.503,3.533,6.197
40.0000000000003,2.503,3.543,6.216
40.1000000000003,2.503,3.554,6.235
40.2000000000003,2.503,3.564,6.253
40.3000000000003,2.503,3.575,6.272
40.4000000000003,2.503,3.585,6.290
40.5000000000003,2.503,3.596,6.309
40.6000000000003,2.503,3.606,6.327
40.7000000000003,2.503,3.617,6.345
40.8000000000003,2.503,3.627,6.363
40.9000000000003,2.503,3.637,6.381
41.0000000000003,2.503,3.647,6.399
41.1000000000003,2.503,3.658,6.417
41.2000000000003,2.503,3.668,6.435
41.3000000000003,2.503,3.678,6.452
41.4000000000003,2.503,3.688,6.470
41.5000000000003,2.503,3.698,6.487
41.6000000000003,2.503,3.708,6.505
41.7000000000003,2.503,3.718,6.522
41.8000000000003,2.503,3.727,6.539
41.9000000000003,2.503,3.737,6.557
42.0000000000003,2.503,3.747,6.574
42.1000000000003,2.503,3.757,6.591
42.2000000000003,2.503,3.766,6.608
42.3000000000003,2.503,3.776,6.625
42.4000000000003,2.503,3.786,6.641
42.5000000000003,2.503,3.795,6.658
42.6000000000003,2.503,3.805,6.675
42.7000000000003,2.503,3.814,6.691
42.8000000000003,2.503,3.824,6.708
42.9000000000003,2.503,3.833,6.724
43.0000000000003,2.503,3.842,6.741
43.1000000000003,2.503,3.852,6.757
43.2000000000003,2.503,3.861,6.773
43.3000000000003,2.503,3.870,6.790
43.4000000000003,2.503,3.879,6.806
43.5000000000003,2.503,3.888,6.822
43.6000000000003,2.503,3.898,6.838
43.7000000000004,2.503,3.907,6.854
43.8000000000004,2.503,3.916,6.870
43.9000000000004,2.503,3.925,6.885
44.0000000000004,2.503,3.934,6.901
44.1000000000004,2.503,3.943,6.917
44.2000000000004,2.503,3.951,6.932
44.3000000000004,2.503,3.960,6.948
44.4000000000004,2.503,3.969,6.963
44.5000000000004,2.503,3.978,6.979
44.6000000000004,2.503,3.987,6.994
44.7000000000004,2.493,3.995,7.009
44.8000000000004,2.503,4.004,7.024
44.9000000000004,2.493,4.012,7.039
45.0000000000004,2.503,4.021,7.054
45.1000000000004,2.503,4.029,7.069
45.2000000000004,2.503,4.037,7.083
45.3000000000004,2.503,4.046,7.098
45.4000000000004,2.503,4.054,7.112
45.5000000000004,2.503,4.062,7.127
45.6000000000004,2.503,4.071,7.141
45.7000000000004,2.503,4.079,7.156
45.8000000000004,2.503,4.087,7.170
45.9000000000004,2.503,4.095,7.184
46.0000000000004,2.503,4.103,7.198
46.1000000000004,2.503,4.111,7.212
46.2000000000004,2.503,4.119,7.226
46.3000000000004,2.503,4.127,7.241
46.4000000000004,2.503,4.135,7.254
46.5000000000004,2.503,4.143,7.268
46.6000000000004,2.503,4.151,7.282
46.7000000000004,2.503,4.159,7.296
46.8000000000004,2.503,4.167,7.310
46.9000000000004,2.503,4.174,7.324
47.0000000000004,2.503,4.182,7.337
47.1000000000004,2.503,4.190,7.351
47.2000000000004,2.503,4.198,7.364
47.3000000000004,2.503,4.205,7.378
47.4000000000004,2.503,4.213,7.391
47.5000000000004,2.503,4.221,7.405
47.6000000000004,2.493,4.228,7.418
47.7000000000004,2.503,4.236,7.431
47.8000000000004,2.503,4.243,7.444
47.9000000000004,2.503,4.251,7.457
48.0000000000004,2.503,4.258,7.470
48.1000000000004,2.503,4.265,7.483
48.2000000000004,2.503,4.273,7.496
48.3000000000004,2.493,4.280,7.509
48.4000000000004,2.493,4.287,7.522
48.5000000000004,2.503,4.294,7.534
48.6000000000004,2.493,4.301,7.546
48.7000000000004,2.503,4.308,7.559
48.8000000000004,2.503,4.315,7.571
48.9000000000004,2.503,4.322,7.583
49.0000000000004,2.503,4.329,7.595
49.1000000000004,2.503,4.336,7.607
49.2000000000004,2.493,4.343,7.619
49.3000000000004,2.503,4.349,7.631
49.4000000000004,2.503,4.356,7.642
49.5000000000004,2.503,4.363,7.654
49.6000000000004,2.503,4.369,7.666
49.7000000000004,2.503,4.376,7.677
49.8000000000004,2.493,4.383,7.689
49.9000000000004,2.503,4.389,7.700
50.0000000000004,2.493,4.396,7.712
50.1000000000004,2.503,4.402,7.723
50.2000000000004,2.493,4.408,7.734
50.3000000000004,2.503,4.415,7.745
50.4000000000004,2.503,4.421,7.756
50.5000000000004,2.493,4.427,7.766
50.6000000000004,2.493,4.433,7.777
50.7000000000005,2.493,4.439,7.788
50.8000000000005,2.503,4.445,7.798
50.9000000000005,2.503,4.451,7.808
51.0000000000005,2.503,4.456,7.818
51.1000000000005,2.503,4.462,7.828
51.2000000000005,2.503,4.468,7.839
51.3000000000005,2.503,4.474,7.849
51.4000000000005,2.503,4.479,7.859
51.5000000000005,2.503,4.485,7.869
51.6000000000005,2.493,4.491,7.879
51.7000000000005,2.503,4.497,7.889
51.8000000000005,2.503,4.502,7.899
51.9000000000005,2.503,4.508,7.908
52.0000000000005,2.493,4.513,7.918
52.1000000000005,2.493,4.519,7.928
52.2000000000005,2.503,4.524,7.937
52.3000000000005,2.503,4.529,7.946
52.4000000000005,2.503,4.535,7.956
52.5000000000005,2.503,4.540,7.965
52.6000000000005,2.503,4.545,7.974
52.7000000000005,2.503,4.551,7.984
52.8000000000005,2.503,4.556,7.993
52.9000000000005,2.503,4.561,8.002
53.0000000000005,2.503,4.567,8.011
53.1000000000005,2.503,4.572,8.021
53.2000000000005,2.503,4.577,8.030
53.3000000000005,2.503,4.582,8.039
53.4000000000005,2.503,4.587,8.048
53.5000000000005,2.503,4.593,8.057
53.6000000000005,2.493,4.598,8.066
53.7000000000005,2.503,4.603,8.075
53.8000000000005,2.503,4.608,8.084
53.9000000000005,2.503,4.613,8.093
54.0000000000005,2.503,4.618,8.102
54.1000000000005,2.503,4.623,8.111
54.2000000000005,2.493,4.628,8.120
54.3000000000005,2.503,4.633,8.128
54.4000000000005,2.503,4.638,8.137
54.5000000000005,2.503,4.643,8.145
54.6000000000005,2.503,4.648,8.154
54.7000000000005,2.493,4.653,8.163
54.8000000000005,2.503,4.657,8.171
54.9000000000005,2.493,4.662,8.179
55.0000000000005,2.503,4.667,8.188
55.1000000000005,2.503,4.672,8.196
55.2000000000005,2.503,4.676,8.204
